variant,lr_stage,jobid,epoch,train_loss,val_ic,val_ic_ir,hit@50,spread@50
C,3em4,8691342,150,-0.165080,0.011080,0.1090,0.5180,+0.000610
C,3em4,8691342,151,-0.171200,0.011340,0.1140,0.5480,+0.001140
C,3em4,8691342,152,-0.176170,0.010370,0.0990,0.5230,+0.000650
C,3em4,8691342,153,-0.168590,0.010040,0.0900,0.5430,+0.000950
C,3em4,8691342,154,-0.186270,0.010460,0.0940,0.5230,+0.000540
C,3em4,8691342,155,-0.161480,0.012330,0.1170,0.5480,+0.001240
C,3em4,8691342,156,-0.169800,0.013540,0.1300,0.5630,+0.001150
D,1em3,8698819,0,0.002350,0.008490,0.0840,0.5330,+0.001440
D,1em3,8698819,1,0.000890,0.004900,0.0500,0.5380,+0.001220
D,1em3,8698819,2,-0.002980,0.009460,0.0800,0.6600,+0.003050
D,1em3,8698819,3,-0.006470,0.009500,0.0730,0.5480,+0.001620
D,1em3,8698819,4,-0.016230,0.019420,0.1310,0.5630,+0.002340
D,1em3,8698819,5,-0.028970,0.025610,0.1500,0.5630,+0.002770
D,1em3,8698819,6,-0.051170,0.026280,0.1560,0.5580,+0.002820
D,1em3,8698819,7,-0.077600,0.025030,0.1460,0.5530,+0.002400
D,1em3,8698819,8,-0.081300,0.023250,0.1380,0.5990,+0.002710
D,1em3,8698819,9,-0.092390,0.022110,0.1240,0.5690,+0.002120
D,1em3,8698819,10,-0.075690,0.020870,0.1150,0.5690,+0.001900
D,1em3,8698819,11,-0.091690,0.020680,0.1220,0.5840,+0.002140
D,1em3,8698819,12,-0.106790,0.020080,0.1180,0.5630,+0.002070
D,1em3,8698819,13,-0.104320,0.020470,0.1280,0.5740,+0.002540
D,1em3,8698819,14,-0.115620,0.017490,0.1350,0.5580,+0.002530
D,1em3,8698819,15,-0.087620,0.010520,0.0730,0.5180,+0.001650
D,1em3,8698819,16,-0.109010,0.013250,0.1070,0.5940,+0.001870
D,1em3,8698819,17,-0.118900,0.013620,0.1000,0.5530,+0.001990
D,1em3,8698819,18,-0.105500,0.014440,0.1200,0.5890,+0.001860
D,1em3,8698819,19,-0.125090,0.011270,0.0950,0.5990,+0.001920
D,1em3,8698819,20,-0.108780,0.010320,0.0990,0.5580,+0.001250
D,1em3,8698819,21,-0.117430,0.011420,0.0880,0.5480,+0.001700
D,1em3,8698819,22,-0.137560,0.014220,0.1290,0.5580,+0.001860
D,1em3,8698819,23,-0.122410,0.010380,0.0940,0.5530,+0.001260
D,3em3,8700637,0,0.002270,0.006910,0.0680,0.5480,+0.001150
D,3em3,8700637,1,0.000230,-0.001890,-0.0130,0.5030,+0.000070
D,3em3,8700637,2,-0.006780,0.017800,0.1520,0.5690,+0.002410
D,3em3,8700637,3,-0.022140,0.020840,0.1460,0.5790,+0.002520
D,3em3,8700637,4,-0.051070,0.021810,0.1320,0.5690,+0.002170
D,3em3,8700637,5,-0.054720,0.019270,0.1160,0.5530,+0.001750
D,3em3,8700637,6,-0.071260,0.016110,0.1000,0.5030,+0.001520
D,3em3,8700637,7,-0.065540,0.017310,0.1170,0.5790,+0.002210
D,3em3,8700637,8,-0.085760,0.017830,0.1300,0.5530,+0.002280
D,3em3,8700637,9,-0.088430,0.019910,0.1250,0.5430,+0.002180
D,3em3,8700637,10,-0.081200,0.020320,0.1210,0.5580,+0.002340
D,3em3,8700637,11,-0.101220,0.019370,0.1210,0.5890,+0.002460
D,3em3,8700637,12,-0.103080,0.018520,0.1180,0.5530,+0.001880
D,3em3,8700637,13,-0.092870,0.018440,0.1100,0.5430,+0.002260
D,3em3,8700637,14,-0.103270,0.018680,0.1100,0.5380,+0.001910
D,3em3,8700637,15,-0.090540,0.014190,0.0940,0.5130,+0.001560
D,3em3,8700637,16,-0.111060,0.018940,0.1210,0.5740,+0.002330
D,3em3,8700637,17,-0.104450,0.018990,0.1160,0.5530,+0.002590
D,3em3,8700637,18,-0.061660,0.018950,0.1170,0.5740,+0.002830
D,3em3,8700637,19,-0.115030,0.014850,0.0950,0.5630,+0.002250
D,3em3,8700637,20,-0.082640,0.011060,0.0700,0.5530,+0.001570
D,3em3,8700637,21,-0.119390,0.014420,0.0960,0.5180,+0.001770
D,3em3,8700637,22,-0.112040,0.014490,0.1000,0.5530,+0.001600
D,3em3,8700637,23,-0.103550,0.009810,0.0880,0.5580,+0.001290
D,3em4,8691214,0,-0.000530,0.009120,0.0890,0.5840,+0.001230
D,3em4,8691214,1,0.001420,0.007220,0.0700,0.5630,+0.001420
D,3em4,8691214,2,0.000530,0.008430,0.0660,0.5690,+0.001740
D,3em4,8691214,3,-0.003300,0.006860,0.0620,0.5230,+0.001010
D,3em4,8691214,4,-0.004230,0.002990,0.0280,0.4920,+0.000560
D,3em4,8691214,5,-0.007970,0.009890,0.0750,0.5380,+0.001130
D,3em4,8691214,6,-0.010180,0.019530,0.1510,0.5380,+0.001660
D,3em4,8691214,7,-0.015760,0.021220,0.1440,0.5380,+0.001310
